,film,film_id,imdb_song,spotify_song
0,The Shawshank Redemption,0111161,If I Didn't Care ,If I Didn't Care
1,The Shawshank Redemption,0111161,Duettino - Sull'aria ,"Duettino-Sull'aria the Marriage of Figaro (From ""Shawshank Redemption"")"
2,The Shawshank Redemption,0111161,Put The Blame On Mame ,Put The Blame On Mame (Nightclub Version)
3,The Shawshank Redemption,0111161,Lovesick Blues ,Lovesick Blues
4,The Shawshank Redemption,0111161,Willie and The Hand Jive ,Willie And The Hand Jive
5,The Shawshank Redemption,0111161,A Mighty Fortress Is Our God ,A Mighty Fortress Is Our God
0,The Godfather,0068646,Mall Wedding Sequence ,
1,The Godfather,0068646,I Have But One Heart ,I Have But One Heart
2,The Godfather,0068646,Luna mezz' 'o mare ,Luna Mezz 'O Mare
3,The Godfather,0068646,Manhattan Serenade ,Manhattan Serenade
4,The Godfather,0068646,Have Yourself a Merry Little Christmas ,Have Yourself A Merry Little Christmas
5,The Godfather,0068646,Santa Claus Is Coming To Town ,Santa Claus Is Coming To Town
6,The Godfather,0068646,The Bells of St. Mary's ,The Bells of St. Mary's - 45 Version
7,The Godfather,0068646,All Of My Life ,all of my life
8,The Godfather,0068646,Mona Lisa ,Mona Lisa (feat. Kendrick Lamar)
9,The Godfather,0068646,"Passacaglia and Fugue in C minor, BWV 582 ","Passacaglia and Fugue in C Minor, BWV 582: Passacaglia"
10,The Godfather,0068646,Non so più ,Non so più chi sei
11,The Godfather,0068646,Brindisi (Libiamo ne' lieti calici) ,La Traviata: Brindisi (Libiamo ne' lieti calici)
12,The Godfather,0068646,This Loneliness ,This Loneliness Won't Be the Death of Me
13,The Godfather,0068646,For He's a Jolly Good Fellow ,For He's a Jolly Good Fellow
14,The Godfather,0068646,Antico Canto Siciliano ,Antico canto siciliano
15,The Godfather,0068646,Solid Potato Salad ,Solid Potato Salad
0,The Godfather: Part II,0071562,Senza Mamma ,Senza Mamma
1,The Godfather: Part II,0071562,Napule Ve Salute ,"Senza Mama / Ciuri=Ciuri / Napule Ve Salute - from ""The Godfather Part II"""
2,The Godfather: Part II,0071562,Mr. Wonderful ,Mr. Wonderful
3,The Godfather: Part II,0071562,Heart and Soul ,Heart and Soul
4,The Godfather: Part II,0071562,Guantanamera ,Guantanamera
5,The Godfather: Part II,0071562,The Star-Spangled Banner ,The Star Spangled Banner
6,The Godfather: Part II,0071562,For He's a Jolly Good Fellow ,For He's a Jolly Good Fellow
7,The Godfather: Part II,0071562,Pop Goes the Weasel ,Pop Goes the Weasel
8,The Godfather: Part II,0071562,U Sciccareddu Sicilianu ,'U sciccareddu sicilianu
0,The Dark Knight,0468569,Balmoral ,Balmoral Hotel
1,The Dark Knight,0468569,Scatterin' Monkey ,Scatterin' Monkey
2,The Dark Knight,0468569,4 A Moment of Silence ,4 a Moment of Silence
3,The Dark Knight,0468569,"Andante from String Quartet in a minor D. 804, 'Rosamunde' ","String Quartet No. 13 in A Minor, D. 804 Op. 29: II. Andante"
0,12 Angry Men,0050083,Dance of the Cuckoos ,Laurel & Hardy in Dance of the Cuckoos
0,Schindler's List,0108052,"Mamatschi (Mommy, Buy Me a Pony) ",
1,Schindler's List,0108052,God Bless The Child ,God Bless The Child
2,Schindler's List,0108052,La Capricieuse Opus 17 ,
3,Schindler's List,0108052,Die Holzauktion ,Die Holzauktion
4,Schindler's List,0108052,Gute Nacht Mutter ,Gute Nacht Mutter!
5,Schindler's List,0108052,Oyf 'n Pripetshok ,"Oyf'n Pripetshok / Nacht Aktion - From ""Schindler's List"" Soundtrack"
6,Schindler's List,0108052,Yeroushalaim Shel Zahav ,Yerushalaim Shel Zahav (Jerusalem of Gold)
7,Schindler's List,0108052,Por Una Cabeza ,Por Una Cabeza
8,Schindler's List,0108052,"Meine Lippen, Sie Küssen So Heiss ","Meine Lippen, sie küssen so heiß - From The Operetta ""Giuditta"""
9,Schindler's List,0108052,To Ostatnia Niedziela ,To ostatnia niedziela
10,Schindler's List,0108052,English Suite No.2 in A Minor ,"English Suite No.2 In A Minor, BWV 807: 2. Allemande"
11,Schindler's List,0108052,Mein Vater War Ein Wandersmann ,Mein Vater war ein Wandersmann
12,Schindler's List,0108052,Auf Der Heide Blueht Ein Kleines Bluemelein ,Auf der Heide blüht ein kleines Blümelein
13,Schindler's List,0108052,Szomorú Vasárnap ,Szomoru vasarnap (Sad Sunday)
14,Schindler's List,0108052,Sus Ojos Se Cerraron ,Sus ojos se cerraron
0,The Lord of the Rings: The Return of the King,0167260,Into the West ,Into the West
1,The Lord of the Rings: The Return of the King,0167260,The Green Dragon ,The Green Dragon (feat. Billy Boyd and Dominic Monaghan)
2,The Lord of the Rings: The Return of the King,0167260,The Edge of Night ,The Edge of Night
3,The Lord of the Rings: The Return of the King,0167260,Aragorn's Coronation ,Aragorn's Coronation
4,The Lord of the Rings: The Return of the King,0167260,The House of Healing ,The Houses of Healing (feat. Liv Tyler)
5,The Lord of the Rings: The Return of the King,0167260,A Shadow Lies Between Us ,
0,Pulp Fiction,0110912,Misirlou ,Misirlou
1,Pulp Fiction,0110912,It's Country ,It's Not Over Yet
2,Pulp Fiction,0110912,Jungle Boogie ,Jungle Boogie
3,Pulp Fiction,0110912,Strawberry Letter #23 ,Strawberry Letter 23
4,Pulp Fiction,0110912,Bustin' Surfboards ,Bustin' Surfboards
5,Pulp Fiction,0110912,Let's Stay Together ,Let's Stay Together
6,Pulp Fiction,0110912,Son Of A Preacher Man ,Son of a Preacher Man
7,Pulp Fiction,0110912,Bullwinkle Part II ,"Bullwinkle, Pt. II"
8,Pulp Fiction,0110912,Waitin' In School ,Waitin' In School - Remastered
9,Pulp Fiction,0110912,Lonesome Town ,Lonesome Town
10,Pulp Fiction,0110912,Ace Of Spades ,Ace of Spades
11,Pulp Fiction,0110912,Rumble ,Rumble
12,Pulp Fiction,0110912,Since I First Met You ,Since I First Met You
13,Pulp Fiction,0110912,Teenagers In Love ,Teenager in Love
14,Pulp Fiction,0110912,You Never Can Tell ,You Never Can Tell
15,Pulp Fiction,0110912,"Girl, You'll Be A Woman Soon ","Girl, You'll Be A Woman Soon"
16,Pulp Fiction,0110912,If Love Is A Red Dress (Hang Me In Rags) ,If Love Is A Red Dress (Hang Me In Rags)
17,Pulp Fiction,0110912,Flowers On The Wall ,Flowers On the Wall
18,Pulp Fiction,0110912,Out Of Limits ,Out of Limits
19,Pulp Fiction,0110912,Surf Rider ,Surf Rider
20,Pulp Fiction,0110912,Comanche ,Comanche
21,Pulp Fiction,0110912,"Ole, Ole ",Ole Ole
0,"The Good, the Bad and the Ugly",0060196,The Story Of A Soldier ,The Story Of A Soldier
1,"The Good, the Bad and the Ugly",0060196,The Ecstasy of Gold ,The Ecstasy Of Gold
0,The Lord of the Rings: The Fellowship of the Ring,0120737,Flaming Red Hair ,Flaming Red Hair
1,The Lord of the Rings: The Fellowship of the Ring,0120737,The Road Goes Ever On ,"The Road Goes Ever On..., Pt. 1"
2,The Lord of the Rings: The Fellowship of the Ring,0120737,In Dreams ,In Dreams
3,The Lord of the Rings: The Fellowship of the Ring,0120737,May It Be ,May It Be
4,The Lord of the Rings: The Fellowship of the Ring,0120737,Aníron ,Aníron
5,The Lord of the Rings: The Fellowship of the Ring,0120737,To The Bottle I Go ,Pretty Soon I Don't Know What But Something Is Going To Happen - Bless The Martyr Album Version
6,The Lord of the Rings: The Fellowship of the Ring,0120737,The Song of Beren and Luthien ,The Song of Beren and Lúthien
0,Fight Club,0137523,Coffee Shop Zak ,Coffee Shop (Acoustic)
1,Fight Club,0137523,Girl From Ypsilanti ,Girl From Ypsilanti (as heard in Joyride)
2,Fight Club,0137523,Svarga ,STARGAZING
3,Fight Club,0137523,Cafeteria ,Cafeteria
4,Fight Club,0137523,Smoke Stack ,Smoke Stack
5,Fight Club,0137523,Easy Smack It Up ,
6,Fight Club,0137523,Forbidden To Love ,My Forbidden Lover - 2018 Remaster
7,Fight Club,0137523,Splended & 4M15 ,
8,Fight Club,0137523,Goin' Out West ,Goin' Out West
9,Fight Club,0137523,Valley of the Dolls ,Valley of the Dolls
10,Fight Club,0137523,"No Love, No Nothin' ","No Love, No Nothin'"
11,Fight Club,0137523,KDFW News Theme ,
12,Fight Club,0137523,Tzigany Waltz ,
13,Fight Club,0137523,Where Is My Mind ,Where Is My Mind?
0,Forrest Gump,0109830,Lovesick Blues ,Lovesick Blues
1,Forrest Gump,0109830,Hound Dog ,Hound Dog
2,Forrest Gump,0109830,Rebel-'Rouser ,Rebel Rouser
3,Forrest Gump,0109830,(I Don't Know Why) But I Do ,(I Don't Know Why) But I Do
4,Forrest Gump,0109830,Walk Right In ,Walk Right In
5,Forrest Gump,0109830,Sugar Shack ,Sugar Shack
6,Forrest Gump,0109830,Paramount Newsreel Music ,
7,Forrest Gump,0109830,Camelot ,Camelot
8,Forrest Gump,0109830,Let's Work Together ,Let's Work Together - Long Version / Bonus Track
9,Forrest Gump,0109830,Pomp And Circumstance ,Pomp and Circumstance
10,Forrest Gump,0109830,Hanky Panky ,Hanky Panky - Single Version
11,Forrest Gump,0109830,Blowin' In The Wind ,Blowin' in the Wind
12,Forrest Gump,0109830,Land Of 1000 Dances ,Land of 1000 Dances
13,Forrest Gump,0109830,Fortunate Son ,Fortunate Son
14,Forrest Gump,0109830,I Can't Help Myself (Sugar Pie Honey Bunch) ,"I Can't Help Myself (Sugar Pie, Honey Bunch)"
15,Forrest Gump,0109830,Respect ,Respect
16,Forrest Gump,0109830,Rainy Day Women #12 & 35 ,Rainy Day Women #12 & 35
17,Forrest Gump,0109830,Sloop John B ,Sloop John B - Remastered
18,Forrest Gump,0109830,All Along The Watchtower ,All Along the Watchtower
19,Forrest Gump,0109830,Soul Kitchen ,Soul Kitchen
20,Forrest Gump,0109830,California Dreamin' ,California Dreamin' - Single Version
21,Forrest Gump,0109830,For What It's Worth ,For What It's Worth
22,Forrest Gump,0109830,What The World Needs Now Is Love ,What the World Needs Now(Is Love)
23,Forrest Gump,0109830,Webster's Boomer ,
24,Forrest Gump,0109830,"Hello, I Love You ","Hello, I Love You"
25,Forrest Gump,0109830,People Are Strange ,People Are Strange
26,Forrest Gump,0109830,Break On Through (To The Other Side) ,Break on Through (To the Other Side)
27,Forrest Gump,0109830,Mrs. Robinson ,"Mrs. Robinson - From ""The Graduate"" Soundtrack"
28,Forrest Gump,0109830,Volunteers ,Volunteers - Remastered
29,Forrest Gump,0109830,Hey Joe ,Hey Joe
30,Forrest Gump,0109830,Where Have All The Flowers Gone ,Where Have All the Flowers Gone - Remastered
31,Forrest Gump,0109830,Let's Get Together ,"Let's Get Together - From ""The Parent Trap"""
32,Forrest Gump,0109830,San Francisco (Be Sure To Wear Flowers In Your Hair) ,San Francisco (Be Sure to Wear Flowers in Your Hair)
33,Forrest Gump,0109830,Turn! Turn! Turn! (To Everything There Is A Season) ,Turn! Turn! Turn! (To Everything There Is a Season)
34,Forrest Gump,0109830,Aquarius ,Aquarius/Let The Sunshine In (The Flesh Failures) [Remastered]
35,Forrest Gump,0109830,Joy To The World ,Joy To The World
36,Forrest Gump,0109830,Everybody's Talkin' ,"Everybody's Talkin' - From ""Midnight Cowboy"""
37,Forrest Gump,0109830,Silent Night ,Silent Night
38,Forrest Gump,0109830,Stoned Love ,Stoned Love - Single Version
39,Forrest Gump,0109830,Thanks For The Memory ,Thanks For The Memory
40,Forrest Gump,0109830,Love Her Madly ,Love Her Madly
41,Forrest Gump,0109830,Raindrops Keep Fallin' On My Head ,Raindrops Keep Fallin' On My Head
42,Forrest Gump,0109830,Tie A Yellow Ribbon 'Round The Ole Oak Tree ,Tie a Yellow Ribbon Round the Ole Oak Tree (feat. Tony Orlando) - Digitally Remastered 1998
43,Forrest Gump,0109830,Jesus On The Mainline ,Jesus on the Mainline
44,Forrest Gump,0109830,Get Down Tonight ,Get Down Tonight
45,Forrest Gump,0109830,Free Bird ,Free Bird
46,Forrest Gump,0109830,Mr. President (Have Pity on the Working Man) ,Mr. President (Have Pity on the Working Man) - Remastered
47,Forrest Gump,0109830,My Rock ,My Rock
48,Forrest Gump,0109830,Sweet Home Alabama ,Sweet Home Alabama
49,Forrest Gump,0109830,Plant My Feet On Higher Ground ,Plant My Feet On Higher Ground
50,Forrest Gump,0109830,I've Got A New Home ,I've Got A New Home
51,Forrest Gump,0109830,It Keeps You Runnin' ,It Keeps You Runnin'
52,Forrest Gump,0109830,Running On Empty ,Running on Empty - 45 Version
53,Forrest Gump,0109830,I've Got To Use My Imagination ,I've Got to Use My Imagination
54,Forrest Gump,0109830,Go Your Own Way ,Go Your Own Way - 2004 Remaster
55,Forrest Gump,0109830,On The Road Again ,On the Road Again - Live
56,Forrest Gump,0109830,Against The Wind ,Against The Wind
0,Inception,1375666,"Non, je ne Regrette rien ","Non, je ne regrette rien"
1,Inception,1375666,Aboun Salehoun ,Aboun Salehoun
0,Star Wars: Episode V - The Empire Strikes Back,0080684,It looks like we don't have any Soundtracks for this title yet.,
0,The Lord of the Rings: The Two Towers,0167261,Gollum's Song ,Gollum's Song
1,The Lord of the Rings: The Two Towers,0167261,Evenstar ,Evenstar
2,The Lord of the Rings: The Two Towers,0167261,Breath of Life ,Breath Of Life
3,The Lord of the Rings: The Two Towers,0167261,Isengard Unleashed ,Isengard Unleashed
4,The Lord of the Rings: The Two Towers,0167261,Farewell to Lorien ,Farewell to Lorien
0,The Matrix,0133093,Dissolved Girl ,Dissolved Girl
1,The Matrix,0133093,Dragula (Hot Rod Herman Mix) ,
2,The Matrix,0133093,Leave You Far Behind (Lunatics Roller Coaster Mix) ,
3,The Matrix,0133093,Mindfields ,Mindfields
4,The Matrix,0133093,Prime Audio Soup ,Prime Audio Soup
5,The Matrix,0133093,Clubbed To Death (Kurayamino Mix) ,
6,The Matrix,0133093,Minor Swing ,Minor Swing
7,The Matrix,0133093,Begin the Run ,"The Saga Begins (Lyrical Adaption of ""American Pie"")"
8,The Matrix,0133093,I'm Beginning to See the Light ,I'm Beginning To See The Light
9,The Matrix,0133093,Spybreak (Short One) ,Spybreak! - Short One
10,The Matrix,0133093,Wake Up ,WAKE UP
11,The Matrix,0133093,Rock is Dead ,Rock Is Dead
0,Goodfellas,0099685,Rags to Riches ,Rags to Riches
1,Goodfellas,0099685,Can't We Be Sweethearts ,Can't We Be Sweethearts
2,Goodfellas,0099685,Hearts of Stone ,Hearts Of Stone
3,Goodfellas,0099685,Sincerely ,"Sincerely, Me"
4,Goodfellas,0099685,Firenze Sogna ,Firenze sogna
5,Goodfellas,0099685,Speedo ,Speedom (Wwc2)
6,Goodfellas,0099685,"Parlami D'amore, Mariù ",Parlami d'amore Mariù
7,Goodfellas,0099685,Stardust ,Stardust
8,Goodfellas,0099685,This World We Live In ,This World We Love In
9,Goodfellas,0099685,Playboy ,playboy shit (feat. lil aaron)
10,Goodfellas,0099685,It's Not for Me to Say ,It's Not For Me To Say
11,Goodfellas,0099685,I Will Follow Him ,I Will Follow Him
12,Goodfellas,0099685,Then He Kissed Me ,Then He Kissed Me
13,Goodfellas,0099685,Look in My Eyes ,Look In My Eyes
14,Goodfellas,0099685,Roses are Red ,Roses Are Red (My Love) - Single Version
15,Goodfellas,0099685,Life is But a Dream ,Life Is But a Dream
16,Goodfellas,0099685,Leader of the Pack ,Leader Of The Pack
17,Goodfellas,0099685,"Toot, Toot, Tootsie (Goo' Bye!) ","Toot, Toot, Tootsie (Goo' Bye) - From ""Jazz Singer"""
18,Goodfellas,0099685,Happy Birthday to You ,Happy Birthday to You
19,Goodfellas,0099685,Ain't That a Kick in the Head ,Ain't That A Kick In The Head
20,Goodfellas,0099685,He's Sure the Boy I Love ,He's Sure the Boy I Love
21,Goodfellas,0099685,Atlantis ,Atlantis
22,Goodfellas,0099685,Pretend You Don't See Her ,Pretend You Don't See Her (with Percy Faith & His Orchestra)
23,Goodfellas,0099685,Remember (Walkin' in the Sand) ,Remember (Walkin' In The Sand)
24,Goodfellas,0099685,Baby I Love You ,"Baby, I Love Your Way"
25,Goodfellas,0099685,Beyond the Sea ,Beyond the Sea
26,Goodfellas,0099685,The Boulevard of Broken Dreams ,The Boulevard Of Broken Dreams - 2011 Remaster
27,Goodfellas,0099685,Gimme Shelter ,Gimme Shelter
28,Goodfellas,0099685,Wives and Lovers ,Wives And Lovers
29,Goodfellas,0099685,Monkey Man ,Monkey Man
30,Goodfellas,0099685,Frosty the Snow Man ,Frosty the Snowman
31,Goodfellas,0099685,Christmas (Baby Please Come Home) ,Christmas (Baby Please Come Home)
32,Goodfellas,0099685,Bells of St. Mary's ,The Bells of St. Mary's - 45 Version
33,Goodfellas,0099685,Unchained Melody ,Unchained Melody
34,Goodfellas,0099685,Danny Boy ,Danny Boy
35,Goodfellas,0099685,Sunshine of Your Love ,Sunshine Of Your Love
36,Goodfellas,0099685,Layla ,Layla - 40th Anniversary Version / 2010 Remastered
37,Goodfellas,0099685,Jump into the Fire ,Jump Into The Fire
38,Goodfellas,0099685,Memo from Turner ,Memo From Turner
