album_type,artists,available_markets,external_urls,href,id,images,name,release_date,release_date_precision,total_tracks,type,uri
album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0Xk15jHKly4c3AhPr5vjoA'}, 'href': 'https://api.spotify.com/v1/artists/0Xk15jHKly4c3AhPr5vjoA', 'id': '0Xk15jHKly4c3AhPr5vjoA', 'name': 'Alan Silvestri', 'type': 'artist', 'uri': 'spotify:artist:0Xk15jHKly4c3AhPr5vjoA'}]","['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'ZA']",{'spotify': 'https://open.spotify.com/album/1Fw951OcmbeCmVnnNcRYrp'},https://api.spotify.com/v1/albums/1Fw951OcmbeCmVnnNcRYrp,1Fw951OcmbeCmVnnNcRYrp,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27326ee43659ded2ab2d73566e2', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0226ee43659ded2ab2d73566e2', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485126ee43659ded2ab2d73566e2', 'width': 64}]",Forrest Gump - Original Motion Picture Score,1994-08-02,day,21,album,spotify:album:1Fw951OcmbeCmVnnNcRYrp
compilation,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of'}, 'href': 'https://api.spotify.com/v1/artists/0LyfQWJT6nXafLPZqxe9Of', 'id': '0LyfQWJT6nXafLPZqxe9Of', 'name': 'Various Artists', 'type': 'artist', 'uri': 'spotify:artist:0LyfQWJT6nXafLPZqxe9Of'}]","['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",{'spotify': 'https://open.spotify.com/album/3LP0jc2J6fvhpVTKWzvFUk'},https://api.spotify.com/v1/albums/3LP0jc2J6fvhpVTKWzvFUk,3LP0jc2J6fvhpVTKWzvFUk,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2737f570d8b2e794f1493dca2ca', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e027f570d8b2e794f1493dca2ca', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048517f570d8b2e794f1493dca2ca', 'width': 64}]",Forrest Gump - The Soundtrack,2001-10-02,day,34,album,spotify:album:3LP0jc2J6fvhpVTKWzvFUk
single,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2scnOsuExko5GJdIYZdEnC'}, 'href': 'https://api.spotify.com/v1/artists/2scnOsuExko5GJdIYZdEnC', 'id': '2scnOsuExko5GJdIYZdEnC', 'name': 'Rachel Bobbitt', 'type': 'artist', 'uri': 'spotify:artist:2scnOsuExko5GJdIYZdEnC'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2N79L5eT2Xraec4UJsi2Fz'}, 'href': 'https://api.spotify.com/v1/artists/2N79L5eT2Xraec4UJsi2Fz', 'id': '2N79L5eT2Xraec4UJsi2Fz', 'name': 'Justice Der', 'type': 'artist', 'uri': 'spotify:artist:2N79L5eT2Xraec4UJsi2Fz'}]","['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",{'spotify': 'https://open.spotify.com/album/76TQ5sz94Y5xBbWGNl7kCK'},https://api.spotify.com/v1/albums/76TQ5sz94Y5xBbWGNl7kCK,76TQ5sz94Y5xBbWGNl7kCK,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273cadacdeaba8522d429c7b635', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02cadacdeaba8522d429c7b635', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851cadacdeaba8522d429c7b635', 'width': 64}]",Forrest Gump/Japanese Denim,2019-05-31,day,2,album,spotify:album:76TQ5sz94Y5xBbWGNl7kCK
album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2JcB0D3GGG5BhIJDkdtXi7'}, 'href': 'https://api.spotify.com/v1/artists/2JcB0D3GGG5BhIJDkdtXi7', 'id': '2JcB0D3GGG5BhIJDkdtXi7', 'name': 'Baby Lullaby', 'type': 'artist', 'uri': 'spotify:artist:2JcB0D3GGG5BhIJDkdtXi7'}]","['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",{'spotify': 'https://open.spotify.com/album/6Ctr96oAlX6wl837oQZB83'},https://api.spotify.com/v1/albums/6Ctr96oAlX6wl837oQZB83,6Ctr96oAlX6wl837oQZB83,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ef40c23b42f090fb15697094', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02ef40c23b42f090fb15697094', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851ef40c23b42f090fb15697094', 'width': 64}]","Movie Piano Lullabies Of Titanic, Twilight, Harry Potter, Braveheart, Forrest Gump And More...",2012-01-16,day,27,album,spotify:album:6Ctr96oAlX6wl837oQZB83
album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5ub7Df8emOoLsyI2cvWXJ1'}, 'href': 'https://api.spotify.com/v1/artists/5ub7Df8emOoLsyI2cvWXJ1', 'id': '5ub7Df8emOoLsyI2cvWXJ1', 'name': 'The Popcorn Buckets', 'type': 'artist', 'uri': 'spotify:artist:5ub7Df8emOoLsyI2cvWXJ1'}]","['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",{'spotify': 'https://open.spotify.com/album/5OtFIMcXZMvV1yTUSbCRzG'},https://api.spotify.com/v1/albums/5OtFIMcXZMvV1yTUSbCRzG,5OtFIMcXZMvV1yTUSbCRzG,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273b9021b4fe9cc87296f9576f9', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02b9021b4fe9cc87296f9576f9', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851b9021b4fe9cc87296f9576f9', 'width': 64}]",Forrest Gump: The Unofficial Soundtrack Performed By the Popcorn Buckets,2007-04-25,day,39,album,spotify:album:5OtFIMcXZMvV1yTUSbCRzG
compilation,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of'}, 'href': 'https://api.spotify.com/v1/artists/0LyfQWJT6nXafLPZqxe9Of', 'id': '0LyfQWJT6nXafLPZqxe9Of', 'name': 'Various Artists', 'type': 'artist', 'uri': 'spotify:artist:0LyfQWJT6nXafLPZqxe9Of'}]",['US'],{'spotify': 'https://open.spotify.com/album/6GTk207l0qi4FBK2FOPRlV'},https://api.spotify.com/v1/albums/6GTk207l0qi4FBK2FOPRlV,6GTk207l0qi4FBK2FOPRlV,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c5c44597a09249c8ae47bd51', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02c5c44597a09249c8ae47bd51', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851c5c44597a09249c8ae47bd51', 'width': 64}]",Forrest Gump - The Soundtrack,2001-09-21,day,34,album,spotify:album:6GTk207l0qi4FBK2FOPRlV
album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3HwrzI89xYuRvUsdWOIMwj'}, 'href': 'https://api.spotify.com/v1/artists/3HwrzI89xYuRvUsdWOIMwj', 'id': '3HwrzI89xYuRvUsdWOIMwj', 'name': 'The Starshine Orchestra And Singers', 'type': 'artist', 'uri': 'spotify:artist:3HwrzI89xYuRvUsdWOIMwj'}]","['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",{'spotify': 'https://open.spotify.com/album/51kgkg6y9mQaqy88BQVOiB'},https://api.spotify.com/v1/albums/51kgkg6y9mQaqy88BQVOiB,51kgkg6y9mQaqy88BQVOiB,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2738eebf0bb293bef247914e1c8', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e028eebf0bb293bef247914e1c8', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048518eebf0bb293bef247914e1c8', 'width': 64}]",Songs From Forrest Gump,2016-10-11,day,19,album,spotify:album:51kgkg6y9mQaqy88BQVOiB
compilation,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of'}, 'href': 'https://api.spotify.com/v1/artists/0LyfQWJT6nXafLPZqxe9Of', 'id': '0LyfQWJT6nXafLPZqxe9Of', 'name': 'Various Artists', 'type': 'artist', 'uri': 'spotify:artist:0LyfQWJT6nXafLPZqxe9Of'}]","['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",{'spotify': 'https://open.spotify.com/album/0UVJqvzXYdg78Ecbb9xkLn'},https://api.spotify.com/v1/albums/0UVJqvzXYdg78Ecbb9xkLn,0UVJqvzXYdg78Ecbb9xkLn,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2735987e868858f6bb0d92b4ef1', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e025987e868858f6bb0d92b4ef1', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048515987e868858f6bb0d92b4ef1', 'width': 64}]","Run, Forrest, Run: Music Inspired by the Film: Forrest Gump (20th Anniversary Extended Edition)",2015-06-19,day,40,album,spotify:album:0UVJqvzXYdg78Ecbb9xkLn
album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0cylxW7HGdK9xMdubw2oYW'}, 'href': 'https://api.spotify.com/v1/artists/0cylxW7HGdK9xMdubw2oYW', 'id': '0cylxW7HGdK9xMdubw2oYW', 'name': ""The O'Neill Brothers Group"", 'type': 'artist', 'uri': 'spotify:artist:0cylxW7HGdK9xMdubw2oYW'}]","['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",{'spotify': 'https://open.spotify.com/album/5YXnOpr7wWQFGnRl3HXzJt'},https://api.spotify.com/v1/albums/5YXnOpr7wWQFGnRl3HXzJt,5YXnOpr7wWQFGnRl3HXzJt,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2730a6aa8787eb3f21ccb456df3', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e020a6aa8787eb3f21ccb456df3', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048510a6aa8787eb3f21ccb456df3', 'width': 64}]",Acoustic Guitar Songs: Forrest Gump,2013-07-17,day,15,album,spotify:album:5YXnOpr7wWQFGnRl3HXzJt
album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0cylxW7HGdK9xMdubw2oYW'}, 'href': 'https://api.spotify.com/v1/artists/0cylxW7HGdK9xMdubw2oYW', 'id': '0cylxW7HGdK9xMdubw2oYW', 'name': ""The O'Neill Brothers Group"", 'type': 'artist', 'uri': 'spotify:artist:0cylxW7HGdK9xMdubw2oYW'}]","['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",{'spotify': 'https://open.spotify.com/album/3ghdXZK951z0inplHaf5KO'},https://api.spotify.com/v1/albums/3ghdXZK951z0inplHaf5KO,3ghdXZK951z0inplHaf5KO,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273dfa4b3c56f4ded9377423576', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02dfa4b3c56f4ded9377423576', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851dfa4b3c56f4ded9377423576', 'width': 64}]",Forrest Gump Feather Theme: Instrumental Piano Songs,2013-05-21,day,15,album,spotify:album:3ghdXZK951z0inplHaf5KO
