directory,filename,title,file_type,full_path
/media/zappatistas20/Elements/Thesis/Data/films/,Ben-Hur_2016_BDRip_Line_by_Dalemake.avi,ben hur 2016 bd rip line by dalemake,avi,/media/zappatistas20/Elements/Thesis/Data/films//Ben-Hur_2016_BDRip_Line_by_Dalemake.avi
/media/zappatistas20/Elements/Thesis/Data/films/,Spider-Man.Into.the.Spider-Verse.2018.1080p.BRRip.x264-MkvCage.ws.mkv,spider man into the spider verse 2018 br rip mkv cage ws,mkv,/media/zappatistas20/Elements/Thesis/Data/films//Spider-Man.Into.the.Spider-Verse.2018.1080p.BRRip.x264-MkvCage.ws.mkv
/media/zappatistas20/Elements/Thesis/Data/films/,www.HDWebMovies.club - Tanhaji The Unsung Warrior (2020) Hindi 720p HDCAM x264 AAC 1.0GB [HDWebMovi].mp4,hd web movies club tanhaji the unsung warrior 2020 hindi hdcam 1 0gb hd web movi,mp4,/media/zappatistas20/Elements/Thesis/Data/films//www.HDWebMovies.club - Tanhaji The Unsung Warrior (2020) Hindi 720p HDCAM x264 AAC 1.0GB [HDWebMovi].mp4
/media/zappatistas20/Elements/Thesis/Data/films/,[TorrentCounter.to].Spirited.Away.2001.English.Dubbed.1080p.BluRay.x264.[1.8GB].mp4,torrent counter to spirited away 2001 english dubbed blu ray 1 8gb,mp4,/media/zappatistas20/Elements/Thesis/Data/films//[TorrentCounter.to].Spirited.Away.2001.English.Dubbed.1080p.BluRay.x264.[1.8GB].mp4
/media/zappatistas20/Elements/Thesis/Data/films/12 Years a Slave (2013) [1080p],12.Years.a.Slave.2013.1080p.BluRay.x264.YIFY.mp4,12 years a slave 2013 blu ray yify,mp4,/media/zappatistas20/Elements/Thesis/Data/films/12 Years a Slave (2013) [1080p]/12.Years.a.Slave.2013.1080p.BluRay.x264.YIFY.mp4
/media/zappatistas20/Elements/Thesis/Data/films/2001.A.Space.Odyssey.1968.1080p.BluRay.x264.anoXmous,2001.A.Space.Odyssey.1968.1080p.BluRay.x264.anoXmous_.mp4,2001 a space odyssey 1968 blu ray ano xmous,mp4,/media/zappatistas20/Elements/Thesis/Data/films/2001.A.Space.Odyssey.1968.1080p.BluRay.x264.anoXmous/2001.A.Space.Odyssey.1968.1080p.BluRay.x264.anoXmous_.mp4
/media/zappatistas20/Elements/Thesis/Data/films/A Clockwork Orange 1971 720p BluRay x264 AC3 - Ozlem Hotpena,A Clockwork Orange 1971 720p BluRay x264 AC3 - Ozlem Hotpena.mp4,a clockwork orange 1971 blu ray ac3 ozlem hotpena,mp4,/media/zappatistas20/Elements/Thesis/Data/films/A Clockwork Orange 1971 720p BluRay x264 AC3 - Ozlem Hotpena/A Clockwork Orange 1971 720p BluRay x264 AC3 - Ozlem Hotpena.mp4
/media/zappatistas20/Elements/Thesis/Data/films/Aladdin (2019) [WEBRip] [1080p] [YTS.LT],Aladdin.2019.1080p.WEBRip.x264-[YTS.LT].mp4,aladdin 2019 web rip lt,mp4,/media/zappatistas20/Elements/Thesis/Data/films/Aladdin (2019) [WEBRip] [1080p] [YTS.LT]/Aladdin.2019.1080p.WEBRip.x264-[YTS.LT].mp4
/media/zappatistas20/Elements/Thesis/Data/films/Alien DC (1979) [1080p],Alien.Directors.Cut.1979.1080p.BRrip.x264.GAZ.YIFY.mp4,alien directors cut 1979 b rrip yify,mp4,/media/zappatistas20/Elements/Thesis/Data/films/Alien DC (1979) [1080p]/Alien.Directors.Cut.1979.1080p.BRrip.x264.GAZ.YIFY.mp4
/media/zappatistas20/Elements/Thesis/Data/films/All.About.Eve.1950.BluRay.720p.H264,All.About.Eve.1950.BluRay.720p.H264.mp4,all about eve 1950 blu ray h264,mp4,/media/zappatistas20/Elements/Thesis/Data/films/All.About.Eve.1950.BluRay.720p.H264/All.About.Eve.1950.BluRay.720p.H264.mp4
/media/zappatistas20/Elements/Thesis/Data/films/Amelie [Amélie Poulain].2001.BRRip.x264.AAC[5.1]-VLiS,Amelie [Amélie Poulain].2001.BRRip.x264.AAC[5.1]-VLiS.mkv,amelie am lie poulain 2001 br rip 5 1 v li s,mkv,/media/zappatistas20/Elements/Thesis/Data/films/Amelie [Amélie Poulain].2001.BRRip.x264.AAC[5.1]-VLiS/Amelie [Amélie Poulain].2001.BRRip.x264.AAC[5.1]-VLiS.mkv
/media/zappatistas20/Elements/Thesis/Data/films/American Psycho (2000) 1080p,American.Psycho.2000.1080p.BrRip.x264.YIFY.mp4,american psycho 2000 br rip yify,mp4,/media/zappatistas20/Elements/Thesis/Data/films/American Psycho (2000) 1080p/American.Psycho.2000.1080p.BrRip.x264.YIFY.mp4
